unix,date,symbol,open,high,low,close,VolumeBTC,VolumeUSDT,tradecount,EMA,SMA,RSI
1504137600,8/31/2017,BTC/USDT,4555.14,4745.42,4555.14,4724.89,550.18,2548384.43,NULL,4254.512857,4254.512857,67.85827398
1504224000,9/1/2017,BTC/USDT,4724.89,4885.55,4654.88,4834.91,554.18,2634056.29,NULL,4294.596476,4285.927857,70.67946559
1504310400,9/2/2017,BTC/USDT,4834.91,4939.19,4286.87,4472.14,888.18,4072965.36,NULL,4351.968946,4337.823571,53.88472008
1504396800,9/3/2017,BTC/USDT,4472.14,4714.76,4298.33,4509.08,666.62,3011023.5,NULL,4416.361087,4361.549286,55.05584599
1504483200,9/4/2017,BTC/USDT,4509.08,4527.49,3972.51,4100.11,1309.91,5550545.61,NULL,4423.798275,4391.748571,42.26003454
1504569600,9/5/2017,BTC/USDT,4100.11,4484.99,3603,4366.47,1175.2,4863148.22,NULL,4435.169172,4397.756429,50.35319153
1504656000,9/6/2017,BTC/USDT,4366.47,4662.87,4335.26,4619.77,779.5,3500735.96,NULL,4390.494615,4421.075714,56.58522613
1504742400,9/7/2017,BTC/USDT,4619.77,4788.59,4438.19,4691.61,481.83,2219664.92,NULL,4387.291333,4457.201429,58.18829512
1504828800,9/8/2017,BTC/USDT,4691.61,4735.39,4028.93,4282.8,1108.34,4764005.93,NULL,4418.288489,4484.03,47.45089879
1504915200,9/9/2017,BTC/USDT,4282.8,4426.62,4150.06,4258.81,658.59,2814560.35,NULL,4454.731357,4484.181429,46.90392569
1505001600,9/10/2017,BTC/USDT,4258.81,4283,3801,4130.37,648.94,2653218.2,NULL,4431.807176,4478.565,43.98085119
1505088000,9/11/2017,BTC/USDT,4130.37,4334.43,4098.91,4208.47,685.57,2895733.88,NULL,4408.740886,4465.733571,46.17735105
1505174400,9/12/2017,BTC/USDT,4208.47,4394.59,4040.8,4163.72,873.9,3700789.23,NULL,4371.624768,4453.003571,45.08649403
1505260800,9/13/2017,BTC/USDT,4163.72,4165.38,3760,3944.69,901.25,3522155.98,NULL,4349.870799,4422.735,40.094042
1505347200,9/14/2017,BTC/USDT,3944.69,3993,3165.13,3189.02,1642.54,5831847.65,NULL,4325.050692,4379.131429,28.4069721
1505433600,9/15/2017,BTC/USDT,3189.02,3856,2817,3700,1949.32,6525220.95,NULL,4274.335933,4269.426429,40.94284848
1505520000,9/16/2017,BTC/USDT,3700,3950,3470.66,3714.95,1280.1,4739326.89,NULL,4129.627142,4188.361429,41.26688131
1505606400,9/17/2017,BTC/USDT,3714.95,3748.21,3499.02,3699.99,676.16,2445321.19,NULL,4072.343523,4134.276429,41.02431363
1505692800,9/18/2017,BTC/USDT,3699.99,4123.2,3690,4035.01,1027.67,4059703.98,NULL,4024.691053,4076.484286,48.34670776
1505779200,9/19/2017,BTC/USDT,4035.01,4089.97,3830.91,3910.04,898.81,3544361.84,NULL,3981.39758,4071.834286,46.04988056
1505865600,9/20/2017,BTC/USDT,3910.04,4046.08,3820,3900,719.59,2834260.05,NULL,3988.545902,4039.232143,45.86137631
1505952000,9/21/2017,BTC/USDT,3900,3910,3567,3609.99,971.06,3642671.89,NULL,3978.078449,3987.82,40.68113886
1506038400,9/22/2017,BTC/USDT,3609.99,3750,3505.55,3595.87,833.3,3011224.81,NULL,3967.667989,3910.561429,40.4416212
1506124800,9/23/2017,BTC/USDT,3595.87,3817.19,3542.91,3780,747.79,2781158.57,NULL,3919.97759,3861.495,44.99003872
1506211200,9/24/2017,BTC/USDT,3780,3789.99,3622.76,3660.02,659.82,2439045.2,NULL,3876.763245,3827.294286,42.70164349
1506297600,9/25/2017,BTC/USDT,3660.02,3979.87,3653.69,3920.75,720.64,2755957.53,NULL,3863.861479,3793.697857,48.79672148
1506384000,9/26/2017,BTC/USDT,3920.75,3976.99,3850.05,3882.35,523.31,2047857.28,NULL,3836.682615,3773.146429,47.98709177
1506470400,9/27/2017,BTC/USDT,3882.35,4249.94,3872.81,4193,625.3,2542872.29,NULL,3847.8916,3753.048571,54.5560524
1506556800,9/28/2017,BTC/USDT,4193,4300,4101,4174.5,839.55,3510052.09,NULL,3852.486053,3770.785,54.1177135
1506643200,9/29/2017,BTC/USDT,4174.5,4263.86,3952.01,4174.69,1561.22,6403068.39,NULL,3897.887913,3841.176429,54.1217905
1506729600,9/30/2017,BTC/USDT,4174.69,4380,4138.1,4378.51,705.52,3025265.75,NULL,3934.769524,3875.082857,58.39289697
1506816000,10/1/2017,BTC/USDT,4378.51,4406.52,4240.04,4378.48,724.9,3128231.71,NULL,3966.758921,3922.48,58.39203529
1506902400,10/2/2017,BTC/USDT,4378.48,4561.63,4360,4380,634.55,2811131.03,NULL,4021.659065,3970.943571,58.4255103
1506988800,10/3/2017,BTC/USDT,4380,4467.33,4180.8,4310,1070.97,4579122.09,NULL,4069.23519,3995.585714,56.18372604
1507075200,10/4/2017,BTC/USDT,4310,4373,4142,4208.59,859.82,3639917,NULL,4110.670498,4024.154286,53.01036475
1507161600,10/5/2017,BTC/USDT,4208.59,4355,4110,4292.43,760.44,3216620.42,NULL,4137.247765,4046.196429,55.26023686
1507248000,10/6/2017,BTC/USDT,4292.43,4417,4292,4369,502.17,2193131.64,NULL,4146.760063,4094.942143,57.2723696
1507334400,10/7/2017,BTC/USDT,4369,4479.5,4312.56,4423,288.14,1261367.6,NULL,4166.182721,4150.165714,58.68362292
1507420800,10/8/2017,BTC/USDT,4423,4658,4423,4640,504.13,2282412.29,NULL,4193.225025,4196.094286,63.85071849
1507507200,10/9/2017,BTC/USDT,4640,4889.98,4550,4786.95,639.27,3006465.77,NULL,4223.861688,4266.092857,66.87214553
1507593600,10/10/2017,BTC/USDT,4786.95,4960,4680.59,4783.06,1036.4,5011470.95,NULL,4279.346796,4327.964286,66.71318518
1507680000,10/11/2017,BTC/USDT,4783.06,4881.61,4710,4821.43,736.72,3529503.87,NULL,4347.027224,4392.300714,67.53299417
1507766400,10/12/2017,BTC/USDT,4821.43,5439.99,4810.16,5430,1267.18,6610146,NULL,4405.164927,4437.188571,77.1467304
1507852800,10/13/2017,BTC/USDT,5430,5846.17,5379.84,5649.98,1865.9,10519034.83,NULL,4460.666937,4526.867143,79.50871225
1507939200,10/14/2017,BTC/USDT,5649.98,5900,5580.01,5869.99,966.19,5507933.89,NULL,4589.911345,4632.245,81.56130292
1508025600,10/15/2017,BTC/USDT,5869.99,5922.3,5400.01,5709.99,1329.45,7474934.37,NULL,4731.253833,4738.779286,75.62823515
1508112000,10/16/2017,BTC/USDT,5709.99,5788.91,5585.19,5760.02,1516.11,8628528.43,NULL,4883.085322,4833.887143,76.21096489
1508198400,10/17/2017,BTC/USDT,5760.02,5774.98,5508.63,5595,1422.23,7998644.63,NULL,4993.339279,4932.46,70.24492793
1508284800,10/18/2017,BTC/USDT,5595,5596,5037.95,5512.06,2295.6,12337122.76,NULL,5095.563375,5024.245714,67.38948964
1508371200,10/19/2017,BTC/USDT,5512.06,5710,5490.26,5683.9,1869.04,10537781.67,NULL,5162.154925,5117.350714,70.10127546
1508457600,10/20/2017,BTC/USDT,5683.9,6110,5600,6010.01,1930.56,11235714.66,NULL,5208.808935,5216.741429,74.44445235
1508544000,10/21/2017,BTC/USDT,6010.01,6171,5850.03,6024.97,1650.65,10031910.73,NULL,5272.15441,5333.956429,74.62654259
1508630400,10/22/2017,BTC/USDT,6024.97,6060,5720.03,5950.02,1347.95,7951487.14,NULL,5370.535156,5448.382857,71.86382478
1508716800,10/23/2017,BTC/USDT,5950.02,6080,5621.03,5915.93,1788.86,10468709.39,NULL,5457.793135,5541.955714,70.5838871
1508803200,10/24/2017,BTC/USDT,5915.93,5925,5450,5477.03,2555.89,14426687.47,NULL,5523.423383,5622.597143,56.60541408
1508889600,10/25/2017,BTC/USDT,5477.03,5704.96,5286.98,5689.99,2256.1,12398533.97,NULL,5575.757599,5672.166429,60.67491348
1508976000,10/26/2017,BTC/USDT,5689.99,5939.99,5650,5861.77,1959.75,11340558.63,NULL,5562.593919,5734.206429,63.63716808
1509062400,10/27/2017,BTC/USDT,5861.77,5980,5649.24,5768.83,1394.13,8110889.65,NULL,5579.580063,5765.047143,60.96155397
1509148800,10/28/2017,BTC/USDT,5768.83,5850.02,5630.03,5719.64,1269.38,7265286.61,NULL,5617.205388,5773.536429,59.53482156
1509235200,10/29/2017,BTC/USDT,5719.64,6189.88,5648.01,6169.98,1783.44,10494670.52,NULL,5637.422003,5762.797143,67.12143188
1509321600,10/30/2017,BTC/USDT,6169.98,6248.68,6030,6120.5,1467.03,8989412.91,NULL,5648.384403,5795.653571,65.66472458
1509408000,10/31/2017,BTC/USDT,6120.5,6498.01,6100,6463,1498.91,9405855.26,NULL,5717.930482,5821.402143,70.44599203
1509494400,11/1/2017,BTC/USDT,6463,6774.67,6338.02,6753.98,1659.85,10848260.96,NULL,5771.606418,5883.402143,73.78583315
1509580800,11/2/2017,BTC/USDT,6753.98,7300,6685.1,7019.98,2459.59,17065694.69,NULL,5863.792229,5972.110714,76.41026699
1509667200,11/3/2017,BTC/USDT,7019.98,7346.34,6923,7115.04,1857.73,13371961.76,NULL,5982.483932,6067.545,77.28546103
1509753600,11/4/2017,BTC/USDT,7115.04,7480.99,6901,7357.09,1385.7,9967485.56,NULL,6120.816741,6146.475714,79.38295055
1509840000,11/5/2017,BTC/USDT,7357.09,7590.25,7279.02,7345.01,1192.58,8887109.79,NULL,6253.379842,6241.627143,78.9909203
1509926400,11/6/2017,BTC/USDT,7345.01,7401,6906,6960.12,1741.45,12518224.29,NULL,6400.541196,6341.269286,67.54524326
1510012800,11/7/2017,BTC/USDT,6960.12,7198.49,6901,7064.04,1421.75,10043061.88,NULL,6526.47037,6415.854286,68.85734393
1510099200,11/8/2017,BTC/USDT,7064.04,7770,6651,7303,2726.84,19801967.39,NULL,6584.290321,6529.212143,71.6914564
1510185600,11/9/2017,BTC/USDT,7303,7392,7015,7079.99,1893.28,13654254.41,NULL,6648.256945,6644.427143,65.68381994
1510272000,11/10/2017,BTC/USDT,7079.99,7279.91,6255.01,6506.98,3186.23,21622898.73,NULL,6735.556019,6731.442857,53.3200865
1510358400,11/11/2017,BTC/USDT,6506.98,6797.98,6100,6245.05,2685.67,17244601.14,NULL,6781.48055,6784.167857,48.79836103
1510444800,11/12/2017,BTC/USDT,6245.05,6630,5325.01,5811.03,4854.44,29032268.06,NULL,6744.880476,6821.697143,42.3843711
1510531200,11/13/2017,BTC/USDT,5811.03,6697.47,5699.99,6465.99,2543.41,16021297.87,NULL,6678.236413,6796.057857,52.52524703
1510617600,11/14/2017,BTC/USDT,6465.99,6684.98,6311.07,6574.99,1228.66,8002218.02,NULL,6562.608891,6820.735714,53.97704462
1510704000,11/15/2017,BTC/USDT,6574.99,7298,6574.99,7240.06,1745.83,12209260.29,NULL,6549.726372,6828.735,61.67759337
1510790400,11/16/2017,BTC/USDT,7240.06,7940,7076,7864.5,2294.2,17218742.72,NULL,6553.094856,6863.455,67.22290188
1510876800,11/17/2017,BTC/USDT,7864.5,7989,7451,7699.19,3893.14,30331551.17,NULL,6644.690209,6923.777857,64.55956191
1510963200,11/18/2017,BTC/USDT,7699.19,7819.99,7422,7761.94,3912.88,30018085.64,NULL,6807.331514,6965.502857,65.12440813
1511049600,11/19/2017,BTC/USDT,7761.94,8123.15,7650.33,8038,3845.99,30155811.14,NULL,6926.245979,6994.420714,67.57297876
